CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     240.00       0.00
    2      25.00      85.00      20.00      71.00     191.00      10.00
    3      22.00      75.00      30.00      30.00     150.00      10.00
    4      22.00      85.00      10.00      64.00     184.00      10.00
    5      20.00      80.00      40.00     151.00     161.00      10.00
    6      20.00      85.00      20.00      40.00     160.00      10.00
    7      18.00      75.00      20.00      96.00     123.00      10.00
    8      15.00      75.00      20.00      35.00     155.00      10.00
    9      15.00      80.00      10.00     101.00     111.00      10.00
   10      10.00      35.00      20.00     101.00     111.00      10.00
   11      10.00      40.00      30.00     123.00     144.00      10.00
   12       8.00      40.00      40.00      69.00      79.00      10.00
   13       8.00      45.00      20.00      32.00     152.00      10.00
   14       5.00      35.00      10.00     152.00     162.00      10.00
   15       5.00      45.00      10.00      35.00     117.00      10.00
   16       2.00      40.00      20.00      68.00      78.00      10.00
