CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00     130.00     201.00      10.00
    3      35.00      17.00       7.00      20.00      89.00      10.00
    4      55.00      45.00      13.00     106.00     135.00      10.00
    5      55.00      20.00      19.00      71.00     195.00      10.00
    6      15.00      30.00      26.00      20.00     107.00      10.00
    7      25.00      30.00       3.00      54.00     153.00      10.00
    8      20.00      50.00       5.00      66.00     105.00      10.00
    9      10.00      43.00       9.00      61.00     138.00      10.00
   10      55.00      60.00      16.00      53.00     150.00      10.00
   11      30.00      60.00      16.00     101.00     156.00      10.00
   12      20.00      65.00      12.00      33.00     152.00      10.00
   13      50.00      35.00      19.00      38.00      97.00      10.00
   14      30.00      25.00      23.00      70.00     208.00      10.00
   15      15.00      10.00      20.00      32.00     137.00      10.00
   16      30.00       5.00       8.00      30.00     154.00      10.00
