CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00      15.00     204.00      10.00
    3      35.00      17.00       7.00      18.00     202.00      10.00
    4      55.00      45.00      13.00      54.00     187.00      10.00
    5      55.00      20.00      19.00     138.00     169.00      10.00
    6      15.00      30.00      26.00      20.00     199.00      10.00
    7      25.00      30.00       3.00      76.00     131.00      10.00
    8      20.00      50.00       5.00      21.00     170.00      10.00
    9      10.00      43.00       9.00      87.00     112.00      10.00
   10      55.00      60.00      16.00      88.00     115.00      10.00
