 CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00      73.00     204.00      10.00
    3      35.00      17.00       7.00      18.00     147.00      10.00
    4      55.00      45.00      13.00      76.00     165.00      10.00
    5      55.00      20.00      19.00      73.00     195.00      10.00
    6      15.00      30.00      26.00      20.00     167.00      10.00
    7      25.00      30.00       3.00      49.00     158.00      10.00
    8      20.00      50.00       5.00      36.00     135.00      10.00
    9      10.00      43.00       9.00      50.00     149.00      10.00
   10      55.00      60.00      16.00      47.00     156.00      10.00
