CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00     960.00       0.00
    2      25.00      85.00      20.00     388.00     911.00      10.00
    3      22.00      75.00      30.00      30.00     546.00      10.00
    4      22.00      85.00      10.00     353.00     708.00      10.00
    5      20.00      80.00      40.00     425.00     913.00      10.00
    6      20.00      85.00      20.00      40.00     630.00      10.00
    7      18.00      75.00      20.00     228.00     667.00      10.00
    8      15.00      75.00      20.00     161.00     558.00      10.00
    9      15.00      80.00      10.00     229.00     624.00      10.00
   10      10.00      35.00      20.00     213.00     648.00      10.00
