CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      40.00      50.00       0.00       0.00    1236.00       0.00
    2      45.00      68.00      10.00     850.00    1030.00      90.00
    3      45.00      70.00      30.00     758.00     938.00      90.00
    4      42.00      66.00      10.00      16.00     196.00      90.00
    5      42.00      68.00      10.00     665.00     845.00      90.00
    6      42.00      65.00      10.00      15.00     195.00      90.00
    7      40.00      69.00      20.00     572.00     752.00      90.00
    8      40.00      66.00      20.00     108.00     288.00      90.00
    9      38.00      68.00      20.00     200.00     380.00      90.00
   10      38.00      70.00      10.00     480.00     660.00      90.00
   11      35.00      66.00      10.00     294.00     474.00      90.00
   12      35.00      69.00      10.00     387.00     567.00      90.00
   13      25.00      85.00      20.00     597.00     777.00      90.00
