CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00     230.00       0.00
    2      41.00      49.00      10.00       0.00     204.00      10.00
    3      35.00      17.00       7.00       0.00     202.00      10.00
    4      55.00      45.00      13.00       0.00     197.00      10.00
    5      55.00      20.00      19.00     149.00     159.00      10.00
    6      15.00      30.00      26.00       0.00     199.00      10.00
    7      25.00      30.00       3.00       0.00     208.00      10.00
    8      20.00      50.00       5.00       0.00     198.00      10.00
    9      10.00      43.00       9.00      95.00     105.00      10.00
   10      55.00      60.00      16.00      97.00     107.00      10.00
   11      30.00      60.00      16.00       0.00     194.00      10.00
   12      20.00      65.00      12.00      67.00      77.00      10.00
   13      50.00      35.00      19.00       0.00     205.00      10.00
