CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      35.00      35.00       0.00       0.00    1000.00       0.00
    2      41.00      49.00      10.00       0.00     974.00      10.00
    3      35.00      17.00       7.00       0.00     972.00      10.00
    4      55.00      45.00      13.00       0.00     967.00      10.00
    5      55.00      20.00      19.00     620.00     860.00      10.00
    6      15.00      30.00      26.00       0.00     969.00      10.00
    7      25.00      30.00       3.00       0.00     978.00      10.00
    8      20.00      50.00       5.00       0.00     968.00      10.00
    9      10.00      43.00       9.00     323.00     563.00      10.00
   10      55.00      60.00      16.00     329.00     569.00      10.00
   11      30.00      60.00      16.00       0.00     964.00      10.00
   12      20.00      65.00      12.00     146.00     386.00      10.00
